,TextID,Sentiment Scores,GPE Mentions
94,3872,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.2846}",Afghanistan
95,1884,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",U.S.
96,4239,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.5267}",Israel
97,3282,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}",Us
98,4532,"{'neg': 0.456, 'neu': 0.544, 'pos': 0.0, 'compound': -0.7061}",New York
99,4130,"{'neg': 0.408, 'neu': 0.376, 'pos': 0.216, 'compound': -0.6776}",US
100,599,"{'neg': 0.289, 'neu': 0.711, 'pos': 0.0, 'compound': -0.4714}",Yemen
101,4577,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.7906}",Washington
102,1934,"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.3818}",Baltimore
103,5075,"{'neg': 0.18, 'neu': 0.602, 'pos': 0.218, 'compound': 0.128}",Oklahoma
104,2076,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",D.C.
105,4714,"{'neg': 0.275, 'neu': 0.725, 'pos': 0.0, 'compound': -0.5859}",Israel
106,4911,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Paris
107,2834,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iran
108,2281,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Israel
109,1938,"{'neg': 0.0, 'neu': 0.57, 'pos': 0.43, 'compound': 0.7783}",Brussels
110,1255,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Baltimore
111,4618,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Greece
112,3602,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.5423}",Iran
113,384,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",U.S.
114,4492,"{'neg': 0.158, 'neu': 0.714, 'pos': 0.128, 'compound': -0.1531}",Ethiopia
115,2432,"{'neg': 0.137, 'neu': 0.863, 'pos': 0.0, 'compound': -0.2263}",Kentucky
116,2916,"{'neg': 0.273, 'neu': 0.727, 'pos': 0.0, 'compound': -0.128}",Jamaica
117,4713,"{'neg': 0.494, 'neu': 0.506, 'pos': 0.0, 'compound': -0.5994}",Cuba
118,4217,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Nevada
119,1770,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.5994}",US
120,3427,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.5574}",Iran
121,658,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5859}",San Bernardino
122,4865,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iran
123,4031,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}",Israel
124,2586,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}",Vlad
125,4045,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.2023}",Cuba
