,TextID,Sentiment Scores,GPE Mentions
84,7474,"{'neg': 0.087, 'neu': 0.752, 'pos': 0.162, 'compound': 0.3167}",New Eastern Outlook
85,7661,"{'neg': 0.261, 'neu': 0.739, 'pos': 0.0, 'compound': -0.7184}",U.S.
86,7443,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",the United States of America
87,8210,"{'neg': 0.378, 'neu': 0.488, 'pos': 0.134, 'compound': -0.4588}",Turkey
88,9756,"{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.4939}",Australia
89,6851,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.7003}",Blogs
90,9239,"{'neg': 0.143, 'neu': 0.714, 'pos': 0.143, 'compound': 0.0}",Oklahoma
91,6815,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",PARIS
92,7154,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.3182}",US
93,7757,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Russia
94,9557,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Finland
95,5297,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Canada
96,8142,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",U.S.
97,6176,"{'neg': 0.291, 'neu': 0.598, 'pos': 0.111, 'compound': -0.4767}",US
98,9402,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.507}",Alaska
99,6948,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Quebec
100,9991,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Enter Mosul
101,10555,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
102,8549,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",Wisconsin
103,6035,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",New Clinton Emails - The Onion - America's
104,9134,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.5267}",Rome
105,6407,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Sledgehammer
106,6841,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",North Carolina
107,8756,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
108,5918,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
109,5307,"{'neg': 0.208, 'neu': 0.566, 'pos': 0.226, 'compound': 0.0772}",Pakistan
110,8484,"{'neg': 0.51, 'neu': 0.49, 'pos': 0.0, 'compound': -0.6369}",India
111,9948,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",The United States of America
112,6058,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.3182}",South Korea -
113,8767,"{'neg': 0.283, 'neu': 0.641, 'pos': 0.076, 'compound': -0.7964}",Hollywood
114,9394,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Syria
115,8428,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Moscow
116,10357,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.3716}",Texas county
117,10257,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Suburbs
118,7577,"{'neg': 0.2, 'neu': 0.581, 'pos': 0.219, 'compound': 0.0772}",Florida
119,9485,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.25}",U.S.
120,6698,"{'neg': 0.464, 'neu': 0.536, 'pos': 0.0, 'compound': -0.8316}",Colombia
121,8516,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",France
122,10048,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
123,5724,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Mosul
124,7892,"{'neg': 0.287, 'neu': 0.713, 'pos': 0.0, 'compound': -0.8779}",the United States
125,9935,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.1027}",US
126,6810,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Saudi Arabia
127,5847,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Maryland
128,7815,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.5859}",Undemocratic
129,10183,"{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.6808}",Turkey
130,6768,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.0772}",Oregon
131,10203,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.4926}",US
132,9953,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.128}",Norway
133,9625,"{'neg': 0.1, 'neu': 0.747, 'pos': 0.154, 'compound': 0.3182}",Palmyra
134,6872,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.3164}",Russia
135,8643,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}",Syria
136,9265,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",China
137,5468,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.5719}",Russia
138,9044,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}",Berkeley
139,6203,"{'neg': 0.343, 'neu': 0.657, 'pos': 0.0, 'compound': -0.6908}",France
140,6316,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
141,6850,"{'neg': 0.354, 'neu': 0.442, 'pos': 0.204, 'compound': -0.1779}",US
142,6327,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.4588}",France
143,6442,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}",Yemen
144,6801,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.34}",Minnesota
